# Komentarze zaczynają się znakiem # i występują tylko na początku pliku. Można je usunąć ręcznie lub (lepiej) napisać program tak, by je ignorował.
# Każda linia niebędąca komentarzem (jest ich 18936) zawiera informacje o jednym odcinku szlaku/szlaków, czyli kolejno:
# - długość odcinka w kilometrach (zmiennoprzecinkowa),
# - identyfikatory (całkowitoliczbowe) i nazwy (które tu są głównie dla urozmaicenia, nie zawierają średników i niestety są powtarzalne) punktów końcowych odcinka,
# - "kolor(y)", jakimi oznakowany jest odcinek,
# wszystko pooddzielane średnikami.
# Kolory mają dosyć dziwne nazwy i jest ich 18.
0.6387;730;Chata Na Czantorii;737;Czantoria Wielka;hiking_trail_yellow;hiking_trail_green;hiking_trail_blue
7.333;10385;Krobielowice;10386;Sadków;hiking_trail_blue
2.0008;9506;Promnice, rozejście szlaków czerwony – żółty;9504;Jezioro Paprocańskie;hiking_trail_red
0.2428;5926;Teplice nad Metují, Rooseveltova;5919;Teplice nad Metují;hiking_trail_yellow;hiking_trail_red;hiking_trail_blue
1.4533;13983;Senderki;13984;Potok-Senderki;hiking_trail_blue
0.2201;9793;Góra Świętej Anny, ul. Leśnicka;9792;Góra Świętej Anny;hiking_trail_blue;hiking_trail_green;hiking_trail_red
0.3835;4127;Kamienica, Pierzgi;70;Kamienica;hiking_trail_blue;hiking_trail_red
1.1086;7156;Vysoký kámen, odbočka;7159;U Převráceného bunkru;hiking_trail_red
3.4491;14875;Mściszewice;14876;Węsiory;hiking_trail_green
2.3585;1605;Nad Matliarmi;1601;Pri tenise;hiking_trail_blue
1.0962;9235;Ľadonhora;9240;Nad Kubaščíkovcami;hiking_trail_blue
2.5206;15709;Kowary, ul. Pocztowa;1184;Kowary Górne;hiking_trail_blue;hiking_trail_green
1.5763;1436;Výrovka;1325;Richterovy Boudy;hiking_trail_green
2.0905;11717;Odejście ścieżki spacerowej;11733;Skrzyżowanie ścieżek spacerowych;hiking_trail_local_red
1.7441;12458;Odejście ścieżki przyrodniczej;3293;Wąwóz Myśliborski, zach.;hiking_trail_black
0.0987;12893;Otwock, Dom Pomocy Społecznej;15123;Otwock, ul. Krasińskiego;hiking_trail_local_yellow
0.815;3044;Karpacz, Hotel Majestic;1331;Rozdroże Łomnickie;hiking_trail_yellow;hiking_trail_green
0.3539;7162;Nad Boudou;7161;Odranec;hiking_trail_red;hiking_trail_green
1.3954;803;Przełęcz Salmopolska;774;Malinów;hiking_trail_red
1.2539;7517;Kozubova, salaš;13734;Rozejście szlaków;hiking_trail_green
0.6974;9654;Markowice, ul. Arki Bożka;9653;Markowice, ul. Gliwicka;hiking_trail_blue;hiking_trail_red
3.5129;6714;Motyčky;6738;Krčahy, Kováčka, rázc.;hiking_trail_yellow
1.117;5037;Snilovské sedlo;5038;Chleb;hiking_trail_red
2.4162;2170;Banjaluka;6447;Žleb;hiking_trail_yellow
2.26;13540;Větrov, Dalimilova rozhledna;13541;Pod Starým kopcem;hiking_trail_green
0.3121;10529;Oborniki Śląskie, ul. Dworcowa;10532;Oborniki Śląskie;hiking_trail_yellow
0.7206;160;Runek;2442;Czubakowska;hiking_trail_blue;hiking_trail_red
0.1099;8609;Kamień Pomorski, ul. Rejtana;8610;Kamień Pomorski, ul. Mieszka I;jacobs_trail_None
11.6224;9631;Rybnik Paruszowiec, stacja kolejowa;9642;Szczejkowice;hiking_trail_blue
2.7727;14017;Tomaszów Lubelski, ul. Petera;14116;Łaszczówka;hiking_trail_red
0.0415;9645;Olsztyn, rynek;13863;Olsztyn, Ośrodek Kultury;hiking_trail_green;hiking_trail_black
0.1867;2647;Jarnołtówek, odejście szlaku zielonego;2648;Jarnołtówek;hiking_trail_green;hiking_trail_red
1.2283;11775;Odejście 'Szlaku kamiennych krzyży' ;8274;Świątek;hiking_trail_green;hiking_trail_didactic_yellow
0.2506;199;Tablica S. Bronikowskiego;197;Dolina Pięciu Stawów Polskich, Niżnie Solnisko;hiking_trail_blue
0.0675;5650;Jaworzynka, kościół;841;Trzycatek;hiking_trail_green;hiking_trail_yellow
1.5636;2339;Hala pod Klinem;2337;Przełęcz pod Turzyną;hiking_trail_red;hiking_trail_blue
2.8181;3564;Jaworsko;8041;Pod Wolnicą;hiking_trail_blue
1.2203;14911;Fort Radiowo;14914;Warszawa, Bemowo;hiking_trail_didactic_green
6.583;4378;Rudawa;4396;Brama Będkowska;hiking_trail_blue
10.8043;12071;Wilczogóra;12072;Rębowola;hiking_trail_blue
0.915;9709;Stroszek, ogródki;9708;Dąbrowa Miejska;hiking_trail_blue;hiking_trail_green
1.5109;23;Nowa Biala;15;Krempachy;hiking_trail_green
2.435;1175;Kocioł Wielkiego Stawu;1340;Równia pod Śnieżką;hiking_trail_red
0.0737;15284;Ostrów Lubelski, ul. Lubelska;13332;Ostrów Lubelski, Urząd Miejski;hiking_trail_blue;hiking_trail_green
2.7809;7649;Pindula, sedlo;7589;Zadní Javorník;hiking_trail_blue
5.2327;9834;Radlin, Obszary;9833;Jankowice Rybnickie;hiking_trail_yellow
2.1066;3496;Zalesie;3497;Stradomka;hiking_trail_local_blue
1.8305;15827;Bydgoszcz, wiadukty Jana Nowaka-Jeziorańskiego;15826;Bydgoszcz, Las Gdański;hiking_trail_blue;jacobs_trail_None
1.6817;495;Pod Koprywiczną;10285;Jasiołka;hiking_trail_green;hiking_trail_blue
0.0214;8631;Lenartov;8632;Lenartov, rázc.;hiking_trail_green;hiking_trail_yellow
0.6744;8852;Janov nad Nisou, Za Prahou;8854;Za Prahou, Malý Semerink;hiking_trail_red;hiking_trail_blue
1.2215;5054;Boboty;5055;Sedlo Vrchpodžiar;hiking_trail_green
0.8494;11493;Podkowa Leśna, ul. Bukowa;11494;Podkowa Leśna;hiking_trail_red;hiking_trail_green;hiking_trail_blue
2.0376;6736;Bocianske sedlo, rázc.;6581;Králička;hiking_trail_yellow
1.5994;8624;Droga przy gazoporcie;8626;Skrzyżowanie przy Dzwonie;hiking_trail_didactic_black
0.8691;3461;Andělka;3462;Przejście graniczne Andělka – Lutogniewice;hiking_trail_yellow
3.0022;3815;Włodowice;2361;Pod Ptasim Szczytem;hiking_trail_blue
0.5618;4848;Paseky;4849;Hájovna Na Rovinách;hiking_trail_yellow;hiking_trail_blue
12.0978;12834;Roskosz, Wioska Ginących Zawodów;12835;Klonowica Duża;hiking_trail_yellow
1.1497;2195;Przełęcz Jawornicka;2082;Przełęcz Różaniec;hiking_trail_green;hiking_trail_local_yellow
0.6203;15748;Rozejście szlaków;15747;Rozejście szlaków;hiking_trail_yellow
5.71;15012;Rozejście szlaków;15013;Zamrzenica;hiking_trail_blue
0.3611;7709;Veterný vrch, rázc.;13881;Rozejście szlaków;hiking_trail_red;hiking_trail_local_yellow
1.3102;2442;Czubakowska;2443;Pod Bukową;hiking_trail_red
0.1492;8564;Wolin, ul. Kolejowa;8563;Wolin, stacja kolejowa;hiking_trail_yellow
7.8721;13736;Rozejście szlaków;7390;Velký potok, rozc.;hiking_trail_yellow
2.0139;8478;Skrzyżowanie przy Fajnej Rybie;8479;Henryków, skrzyżowanie szlaków;hiking_trail_yellow;hiking_trail_green
1.7018;12170;Pułtusk, nadleśnictwo;12169;Rezerwat Popławy;hiking_trail_yellow
1.361;7450;Záolší, rozc.;4775;Bystřice;hiking_trail_blue;hiking_trail_green
4.6159;327;Czerenin;393;Stryb;hiking_trail_red;hiking_trail_blue
0.9826;15030;Bydgoszcz, Las Gdański;15026;Bydgoszcz Leśna;hiking_trail_blue
1.5756;2169;Branná;6746;Přední Alojzov, výhlídka;hiking_trail_green
2.2809;6444;Černava, lanovka;6445;Šerák, rozc.;hiking_trail_red
0.3658;5949;Nové Město nad Metují, pod bránou;5975;Sepský most;hiking_trail_red;hiking_trail_yellow
0.2694;13090;Wojcieszów, ul. Kościelna;13092;Odejście do ruin wapiennika;hiking_trail_didactic_red
2.6434;2075;Błotnica Górna;2771;Kolonia Błotnica;hiking_trail_red
2.2782;401;Wetlina, Moczarne;8510;Nad Wetliną;hiking_trail_green;hiking_trail_didactic_green
1.2618;11590;Rezerwat Puszcza Słupecka;11591;Mogiła żołnierska na skraju rezerwatu Puszcza Słupecka;hiking_trail_black
3.6043;15411;Wiata Leśnika;15410;Wiata Wędrowca;hiking_trail_didactic_blue
2.3809;6562;Pod Košariskami;6560;Budnárka;hiking_trail_blue
4.0492;5660;Rozdroże nad Piekłem;5659;Gajów;hiking_trail_green
8.9804;15546;Jemielnica, przedszkole;15547;Strzelce Opolskie, zespół szkół ogólnokształcących;jacobs_trail_None
0.1572;14730;Łeba, ul. Teligi;14731;Łeba, Al. Św. Jakuba;hiking_trail_green;hiking_trail_red;hiking_trail_blue
0.3859;12359;Punkt widokowy na ścieżce edukacyjnej;12358;Marków Potok;hiking_trail_didactic_blue
1.606;819;Stecówka;824;Skrzyżowanie Do Buka;hiking_trail_red
0.8272;7975;Nad skálami;7978;Městské skály;hiking_trail_green
0.3013;1984;Lesica;12527;Lesica, rozejście szlaków;hiking_trail_green
4.5758;1245;Niedamirów;2401;Szczepanów;hiking_trail_blue
0.4084;8959;Pieskowa Skała, odejście szlaku czarnego;4413;Pieskowa Skała;hiking_trail_black
8.7499;15867;Ląd nad Wartą;15866;Wyrąbczynek;jacobs_trail_None
1.6394;11499;Czarne Jeziorka;11520;Rezerwat Na Torfach;hiking_trail_blue;hiking_trail_yellow
2.3066;4476;Pod Łysakiem;4478;Zdów;hiking_trail_red;hiking_trail_blue
5.5161;12868;Sieraków, ul. Dworcowa;12871;Grobia;hiking_trail_red
3.0688;15157;Rozejście szlaków;15158;Rozejście szlaków;hiking_trail_green
1.3966;1252;U čtyř pánů;1432;Vrbatovo návrší;hiking_trail_yellow
1.2283;669;Stryszawa, Wsiórz;611;Lechówka;hiking_trail_green;hiking_trail_blue
1.0794;5522;Sedlo Poľana;5521;Sedlo pod Červeným grúňom;hiking_trail_blue
2.1698;8001;Raztoka;7997;Przełęcz Bukowska, odejście szlaku żółtego;hiking_trail_yellow
1.0409;2030;Przełęcz Sokola;4786;Rozdroże nad Sokolcem;hiking_trail_blue
0.4512;15022;Bożenkowo, przystanek DPS;15023;Droga 244;hiking_trail_blue
0.7314;11433;Jabłonna, poczta;11387;Jabłonna, rondo Poniatowskiego;hiking_trail_blue
1.4978;4793;Pod Smoczą Jamą;8150;Czarny Rycerz;hiking_trail_green
0.7446;13859;Rozejście szlaków;4475;Skały Kroczyckie, odejście szlaku żółtego;hiking_trail_yellow
7.2291;8473;Pod Barczą;3110;Bukowa Góra;hiking_trail_yellow
2.8818;14455;Czerniec;5869;Pod Gniewoszem;hiking_trail_yellow
1.7841;3245;Olszówka, Dział;94;Olszówka;hiking_trail_yellow
1.7339;208;Dolina Białego (górne piętro);4670;Przełęcz Białego;hiking_trail_black
4.3785;10133;Obora;10108;Szklary Górne;hiking_trail_black
3.9397;14625;Filipów, ul. Wólczańska;14629;Mieruniszki;hiking_trail_yellow
2.8953;14780;Lębork;15357;Nowa Wieś Lęborska;hiking_trail_green
0.4741;1438;Žacléř;1441;Žacléř, U Porcelánky;hiking_trail_blue
6.8993;14261;Skrzyżowanie szlaków;14262;Zbiczno;hiking_trail_yellow
0.6906;12293;Odejście szlaku spacerowego;12302;Wąwóz Burowski;hiking_trail_local_green
3.8494;6466;Sedlo pod Skalkou;6671;Sedlo Latiborskej hole;hiking_trail_red
0.1437;13050;Jezioro Głębokie (Pierwsze);13051;Rozejście szlaków;hiking_trail_black;hiking_trail_red
4.293;3318;Rozdroże pod Zawadą;3319;Nowy Kościół;hiking_trail_blue
1.3032;6646;Odbočka k jaskyni mŕtvých netopierov;6647;Chata Generála Milana Ratislava Štefánika;hiking_trail_green
0.4379;12969;Odejście do skały Żaba;1786;Skalne Grzyby, Rogacz;hiking_trail_didactic_green;hiking_trail_yellow
0.0972;12076;Rozejście szlaków żółty – czarny;12013;Rezerwat Zagożdżon;hiking_trail_black;hiking_trail_yellow
0.2196;7399;Morávka, Bebek;7400;Morávka, U Bebků;hiking_trail_blue;hiking_trail_green
0.124;552;Wysowa-Zdrój;8008;Wysowa, odejście szlaku zielonego;hiking_trail_green;hiking_trail_blue;hiking_trail_local_red;hiking_trail_yellow
0.1242;10688;Šumperk, učiliště, MHD;10683;Šumperk, Malá;hiking_trail_yellow;hiking_trail_green
2.298;7045;Kosaře;7059;Čertova stěna, rozc.;hiking_trail_yellow
0.909;11597;Grabowa, Ogród Bajek;745;Grabowa;hiking_trail_black
2.9002;4900;Ścinawka Średnia, stacja kolejowa;4901;Zagórze;hiking_trail_green
1.219;4778;Kamieniczki;4783;Jezioro Bielawskie;hiking_trail_yellow
1.2061;1926;Podolí;1917;Zámeček;hiking_trail_green;hiking_trail_yellow
4.5775;13901;Żółkiewka;8316;Gross-Rosen;hiking_trail_blue
2.2437;6111;Nad Schindlerovým pramenem;6117;Priessnitzův pramen;hiking_trail_green
1.5752;253;Polana Kalatówki;276;Schronisko PTTK na Hali Kondratowej;hiking_trail_blue
0.1493;4112;Pod Giewontem;205;Giewont;hiking_trail_blue
0.9008;9479;Dolina Jamny;9480;Rozejście szlaków czerwony – czarny;hiking_trail_red
0.1417;10895;Skrzyżowanie szlaków czerwony – niebieski;10896;Ławka Asesora;hiking_trail_blue;hiking_trail_red
1.8148;14775;Czarna Dąbrówka;14776;Rozejście szlaków;hiking_trail_green;hiking_trail_blue
1.1461;13563;Piwna Droga;13577;Zimna Skała;hiking_trail_green
4.9007;14046;Rozejście szlaków;14147;Szewnia Górna;hiking_trail_blue
7.1237;9298;Pawłowice;9822;Bzie Zameckie;hiking_trail_blue
0.3212;3480;Iwkowa;3483;Iwkowa, Urząd Gminy;hiking_trail_local_green
9.9651;8490;Żeleźnica;8491;Świdno, punkt widokowy;hiking_trail_yellow
0.4133;3954;Jagniątków, Pod Dębem;1145;Jagniątków, skrzyżowanie szlaków niebieski – zielony;hiking_trail_blue;hiking_trail_green
2.0317;462;Kút;13679;Przełęcz Beskid nad Czeremchą;hiking_trail_red
12.5867;13034;Jarnatów;13035;Trzebów;hiking_trail_yellow
1.0664;1796;Rozdroże pod Basztami;1795;Stroczy Zakręt;hiking_trail_green
0.2952;5059;Podžiar;5055;Sedlo Vrchpodžiar;hiking_trail_yellow
0.5989;2512;Wołosate, początek–koniec Głównego Szlaku Beskidzkiego;406;Wołosate;hiking_trail_red;hiking_trail_blue
